Id	primary_heb_full	variant	PlaceId	SourceId
18	אל ארבעין, אתר ארכיאולוגי (ישראל)	ארבעיין	26069	4
19	אל ארבעין, אתר ארכיאולוגי (ישראל)	ארבעין	26069	4
20	אל ארבעין, אתר ארכיאולוגי (ישראל)	אתר אל ארבעין	26069	4
28	אלחרם (ישראל)	אל-חרם	27119	4
29	אלחרם (ישראל)	סידנא עלי	27119	4
36	אל טווילה (תימן)	אלטוילה	23389	4
86	העיר העתיקה (עכו, ישראל)	עכו העתיקה	26774	4
97	אאוסטה (איטליה)	אאוסטה	7904	4
99	אאוסטה (צרפת)	אאוסטה	18485	4
101	אאורל ולאייקו (רומניה)	אאורל ולאייקו	12241	4
104	אאיגירה (יוון)	אאיגירה	15159	4
106	אאך (גרמניה)	אאך	15217	4
112	אאכן (גרמניה)	אאכן	8833	4
113	אאכן (גרמניה)	אכען	8833	4
117	אאלסט (מזרח פלנדריה, בלגיה)	אאלסט	10730	4
122	אבא (אי : סודאן)	אבא	6584	4
124	אבא (קונגו)	אבא	21227	4
126	אבאדאן (איראן)	אבאדאן	10451	4
127	אבאדאן (איראן)	אבדן	10451	2
128	אבאדאן (איראן)	עבדאן	10451	4
130	אבאדו דה גוג'דאם (מרוקו)	אבאדו דה גוג'דאם	15030	4
133	אבאוי-טורנא (הונגריה)	אבאוי-טורנא	11695	4
135	אבאויסנטו (הונגריה)	אבאויסנטו	14548	4
137	אבאוקוטה (ניגריה : מחוז)	אבאוקוטה	13100	4
139	אבאוקוטה (ניגריה)	אבאוקוטה	15379	4
144	אבדרה (יוון)	אבדרה	20079	4
147	אבה ווייל (ויילס)	אבה ווייל	8427	4
148	אבה ווייל (ויילס)	אבה ויל	8427	4
151	אבו (הודו)	אבו	15619	4
155	אבו אוודה (עיר קדומה)	אבו אוודה	6734	4
157	אבוג'ה (ניגריה)	אבוג'ה	12239	4
159	אבו ג'ווייעד (ישראל)	אבו ג'ווייעד	26619	4
