KODERECH	PERMALINK EREKH	word	ZURA	PERMALINK_ZURA
19	http://maagarim.hebrew-academy.org.il/?koderekh=19	אאופידוס	אאופידוס	http://maagarim.hebrew-academy.org.il/?koderekh=19&tsura=%D7%90%D7%90%D7%95%D7%A4%D7%99%D7%93%D7%95%D7%A1
219	http://maagarim.hebrew-academy.org.il/?koderekh=219	אבל	אבל	http://maagarim.hebrew-academy.org.il/?koderekh=219&tsura=%D7%90%D7%91%D7%9C
219	http://maagarim.hebrew-academy.org.il/?koderekh=219	אבל	אבלה	http://maagarim.hebrew-academy.org.il/?koderekh=219&tsura=%D7%90%D7%91%D7%9C%D7%94
219	http://maagarim.hebrew-academy.org.il/?koderekh=219	אבל	באבל	http://maagarim.hebrew-academy.org.il/?koderekh=219&tsura=%D7%91%D7%90%D7%91%D7%9C
219	http://maagarim.hebrew-academy.org.il/?koderekh=219	אבל	וכמאבל	http://maagarim.hebrew-academy.org.il/?koderekh=219&tsura=%D7%95%D7%9B%D7%9E%D7%90%D7%91%D7%9C
219	http://maagarim.hebrew-academy.org.il/?koderekh=219	אבל	מאבל	http://maagarim.hebrew-academy.org.il/?koderekh=219&tsura=%D7%9E%D7%90%D7%91%D7%9C
219	http://maagarim.hebrew-academy.org.il/?koderekh=219	אבל	שבאבל	http://maagarim.hebrew-academy.org.il/?koderekh=219&tsura=%D7%A9%D7%91%D7%90%D7%91%D7%9C
219	http://maagarim.hebrew-academy.org.il/?koderekh=219	אבל	שבאכל	http://maagarim.hebrew-academy.org.il/?koderekh=219&tsura=%D7%A9%D7%91%D7%90%D7%9B%D7%9C
219	http://maagarim.hebrew-academy.org.il/?koderekh=219	אבל	שלאבל	http://maagarim.hebrew-academy.org.il/?koderekh=219&tsura=%D7%A9%D7%9C%D7%90%D7%91%D7%9C
220	http://maagarim.hebrew-academy.org.il/?koderekh=220	אבל בית מעכה	אבלביתמעכה	http://maagarim.hebrew-academy.org.il/?koderekh=220&tsura=%D7%90%D7%91%D7%9C%D7%91%D7%99%D7%AA%D7%9E%D7%A2%D7%9B%D7%94
220	http://maagarim.hebrew-academy.org.il/?koderekh=220	אבל בית מעכה	באבילהוביתמעכה	http://maagarim.hebrew-academy.org.il/?koderekh=220&tsura=%D7%91%D7%90%D7%91%D7%99%D7%9C%D7%94%D7%95%D7%91%D7%99%D7%AA%D7%9E%D7%A2%D7%9B%D7%94
221	http://maagarim.hebrew-academy.org.il/?koderekh=221	אבל מחולה	אבלמחולת	http://maagarim.hebrew-academy.org.il/?koderekh=221&tsura=%D7%90%D7%91%D7%9C%D7%9E%D7%97%D7%95%D7%9C%D7%AA
221	http://maagarim.hebrew-academy.org.il/?koderekh=221	אבל מחולה	כילמא	http://maagarim.hebrew-academy.org.il/?koderekh=221&tsura=%D7%9B%D7%99%D7%9C%D7%9E%D7%90
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	אבלין	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%90%D7%91%D7%9C%D7%99%D7%9F
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	אובלים	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%90%D7%95%D7%91%D7%9C%D7%99%D7%9D
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	אובלין	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%90%D7%95%D7%91%D7%9C%D7%99%D7%9F
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	האוכל	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%94%D7%90%D7%95%D7%9B%D7%9C
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	האוכלין	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%94%D7%90%D7%95%D7%9B%D7%9C%D7%99%D7%9F
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	האיבלון	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%94%D7%90%D7%99%D7%91%D7%9C%D7%95%D7%9F
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	העו'	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%94%D7%A2%D7%95'
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	לאבלים	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%9C%D7%90%D7%91%D7%9C%D7%99%D7%9D
